run_id,frame_index,i_plus,i_minus,v_plus,v_minus,voltage_mv
20260613-001414,0,E1,E7,E2,E3,1.000000
20260613-001414,0,E1,E7,E3,E4,-16.000000
20260613-001414,0,E1,E7,E4,E5,0.000000
20260613-001414,0,E1,E7,E5,E6,-14.000000
20260613-001414,0,E1,E7,E8,E9,-65.500000
20260613-001414,0,E1,E7,E9,E10,-103.000000
20260613-001414,0,E1,E7,E10,E11,90.000000
20260613-001414,0,E1,E7,E11,E12,60.000000
20260613-001414,0,E2,E8,E3,E4,-17.000000
20260613-001414,0,E2,E8,E4,E5,-2.000000
20260613-001414,0,E2,E8,E5,E6,-26.000000
20260613-001414,0,E2,E8,E6,E7,142.000000
20260613-001414,0,E2,E8,E9,E10,-145.000000
20260613-001414,0,E2,E8,E10,E11,121.500000
20260613-001414,0,E2,E8,E11,E12,82.000000
20260613-001414,0,E2,E8,E12,E1,0.000000
20260613-001414,0,E3,E9,E1,E2,18.000000
20260613-001414,0,E3,E9,E4,E5,-2.000000
20260613-001414,0,E3,E9,E5,E6,-33.000000
20260613-001414,0,E3,E9,E6,E7,176.000000
20260613-001414,0,E3,E9,E7,E8,-16.000000
20260613-001414,0,E3,E9,E10,E11,146.000000
20260613-001414,0,E3,E9,E11,E12,100.500000
20260613-001414,0,E3,E9,E12,E1,1.500000
20260613-001414,0,E4,E10,E1,E2,20.000000
20260613-001414,0,E4,E10,E2,E3,5.500000
20260613-001414,0,E4,E10,E5,E6,-38.000000
20260613-001414,0,E4,E10,E6,E7,200.000000
20260613-001414,0,E4,E10,E7,E8,-16.000000
20260613-001414,0,E4,E10,E8,E9,-149.500000
20260613-001414,0,E4,E10,E11,E12,115.500000
20260613-001414,0,E4,E10,E12,E1,2.000000
20260613-001414,0,E5,E11,E1,E2,20.500000
20260613-001414,0,E5,E11,E2,E3,4.500000
20260613-001414,0,E5,E11,E3,E4,-18.000000
20260613-001414,0,E5,E11,E6,E7,220.500000
20260613-001414,0,E5,E11,E7,E8,-16.000000
20260613-001414,0,E5,E11,E8,E9,-164.000000
20260613-001414,0,E5,E11,E9,E10,-224.000000
20260613-001414,0,E5,E11,E12,E1,2.000000
20260613-001414,0,E6,E12,E1,E2,22.000000
20260613-001414,0,E6,E12,E2,E3,5.000000
20260613-001414,0,E6,E12,E3,E4,-18.000000
20260613-001414,0,E6,E12,E4,E5,-4.000000
20260613-001414,0,E6,E12,E7,E8,-16.000000
20260613-001414,0,E6,E12,E8,E9,-175.500000
20260613-001414,0,E6,E12,E9,E10,-238.000000
