run_id,frame_index,i_plus,i_minus,v_plus,v_minus,voltage_mv
20260612-124411,0,E1,E7,E2,E3,-13.000000
20260612-124411,0,E1,E7,E3,E4,-12.000000
20260612-124411,0,E1,E7,E4,E5,-9.000000
20260612-124411,0,E1,E7,E5,E6,-65.500000
20260612-124411,0,E1,E7,E8,E9,13.000000
20260612-124411,0,E1,E7,E9,E10,-71.500000
20260612-124411,0,E1,E7,E10,E11,-29.000000
20260612-124411,0,E1,E7,E11,E12,33.000000
20260612-124411,0,E2,E8,E3,E4,-6.000000
20260612-124411,0,E2,E8,E4,E5,-8.500000
20260612-124411,0,E2,E8,E5,E6,-51.000000
20260612-124411,0,E2,E8,E6,E7,-63.500000
20260612-124411,0,E2,E8,E9,E10,-56.000000
20260612-124411,0,E2,E8,E10,E11,-135.500000
20260612-124411,0,E2,E8,E11,E12,47.000000
20260612-124411,0,E2,E8,E12,E1,-16.000000
20260612-124411,0,E3,E9,E1,E2,-64.000000
20260612-124411,0,E3,E9,E4,E5,-10.000000
20260612-124411,0,E3,E9,E5,E6,-66.000000
20260612-124411,0,E3,E9,E6,E7,-63.500000
20260612-124411,0,E3,E9,E7,E8,115.000000
20260612-124411,0,E3,E9,E10,E11,-142.000000
20260612-124411,0,E3,E9,E11,E12,34.000000
20260612-124411,0,E3,E9,E12,E1,-18.000000
20260612-124411,0,E4,E10,E1,E2,-67.500000
20260612-124411,0,E4,E10,E2,E3,-130.000000
20260612-124411,0,E4,E10,E5,E6,-68.000000
20260612-124411,0,E4,E10,E6,E7,-65.500000
20260612-124411,0,E4,E10,E7,E8,119.000000
20260612-124411,0,E4,E10,E8,E9,15.500000
20260612-124411,0,E4,E10,E11,E12,35.000000
20260612-124411,0,E4,E10,E12,E1,-18.000000
20260612-124411,0,E5,E11,E1,E2,-68.500000
20260612-124411,0,E5,E11,E2,E3,-131.500000
20260612-124411,0,E5,E11,E3,E4,-14.000000
20260612-124411,0,E5,E11,E6,E7,-66.000000
20260612-124411,0,E5,E11,E7,E8,120.000000
20260612-124411,0,E5,E11,E8,E9,16.000000
20260612-124411,0,E5,E11,E9,E10,-78.000000
20260612-124411,0,E5,E11,E12,E1,-18.000000
20260612-124411,0,E6,E12,E1,E2,-41.000000
20260612-124411,0,E6,E12,E2,E3,-130.500000
20260612-124411,0,E6,E12,E3,E4,-14.500000
20260612-124411,0,E6,E12,E4,E5,-10.000000
20260612-124411,0,E6,E12,E7,E8,119.000000
20260612-124411,0,E6,E12,E8,E9,16.000000
20260612-124411,0,E6,E12,E9,E10,-38.000000
20260612-124411,0,E6,E12,E10,E11,-148.500000
20260612-124411,0,E7,E1,E2,E3,-136.000000
20260612-124411,0,E7,E1,E3,E4,-16.500000
20260612-124411,0,E7,E1,E4,E5,-10.000000
20260612-124411,0,E7,E1,E5,E6,-70.000000
20260612-124411,0,E7,E1,E8,E9,16.000000
20260612-124411,0,E7,E1,E9,E10,-78.000000
20260612-124411,0,E7,E1,E10,E11,-151.500000
20260612-124411,0,E7,E1,E11,E12,34.000000
20260612-124411,0,E8,E2,E3,E4,-16.000000
20260612-124411,0,E8,E2,E4,E5,-10.500000
20260612-124411,0,E8,E2,E5,E6,-71.000000
20260612-124411,0,E8,E2,E6,E7,-69.000000
20260612-124411,0,E8,E2,E9,E10,-80.000000
20260612-124411,0,E8,E2,E10,E11,-153.500000
20260612-124411,0,E8,E2,E11,E12,34.500000
20260612-124411,0,E8,E2,E12,E1,-20.000000
20260612-124411,0,E9,E3,E1,E2,-119.000000
20260612-124411,0,E9,E3,E4,E5,-51.000000
20260612-124411,0,E9,E3,E5,E6,-76.500000
20260612-124411,0,E9,E3,E6,E7,-77.500000
20260612-124411,0,E9,E3,E7,E8,120.500000
20260612-124411,0,E9,E3,E10,E11,-148.500000
20260612-124411,0,E9,E3,E11,E12,-6.000000
20260612-124411,0,E9,E3,E12,E1,25.000000
20260612-124411,0,E10,E4,E1,E2,-31.500000
20260612-124411,0,E10,E4,E2,E3,-172.000000
20260612-124411,0,E10,E4,E5,E6,-120.000000
20260612-124411,0,E10,E4,E6,E7,-85.000000
20260612-124411,0,E10,E4,E7,E8,101.000000
20260612-124411,0,E10,E4,E8,E9,84.000000
20260612-124411,0,E10,E4,E11,E12,43.000000
20260612-124411,0,E10,E4,E12,E1,73.000000
20260612-124411,0,E11,E5,E1,E2,-21.000000
20260612-124411,0,E11,E5,E2,E3,-157.000000
20260612-124411,0,E11,E5,E3,E4,-741.000000
20260612-124411,0,E11,E5,E6,E7,-75.500000
20260612-124411,0,E11,E5,E7,E8,-232.000000
20260612-124411,0,E11,E5,E8,E9,635.500000
20260612-124411,0,E11,E5,E9,E10,-58.000000
20260612-124411,0,E11,E5,E12,E1,232.000000
20260612-124411,0,E12,E6,E1,E2,564.500000
20260612-124411,0,E12,E6,E2,E3,-141.500000
20260612-124411,0,E12,E6,E3,E4,-131.000000
20260612-124411,0,E12,E6,E4,E5,-28.000000
20260612-124411,0,E12,E6,E7,E8,103.000000
20260612-124411,0,E12,E6,E8,E9,49.500000
20260612-124411,0,E12,E6,E9,E10,-45.500000
20260612-124411,0,E12,E6,E10,E11,-157.500000
20260612-124411,1,E1,E7,E2,E3,16.000000
20260612-124411,1,E1,E7,E3,E4,-18.000000
20260612-124411,1,E1,E7,E4,E5,-14.000000
20260612-124411,1,E1,E7,E5,E6,-61.000000
20260612-124411,1,E1,E7,E8,E9,17.500000
20260612-124411,1,E1,E7,E9,E10,-65.500000
20260612-124411,1,E1,E7,E10,E11,3.500000
20260612-124411,1,E1,E7,E11,E12,32.000000
20260612-124411,1,E2,E8,E3,E4,-7.500000
20260612-124411,1,E2,E8,E4,E5,-15.500000
20260612-124411,1,E2,E8,E5,E6,-61.500000
20260612-124411,1,E2,E8,E6,E7,-63.000000
20260612-124411,1,E2,E8,E9,E10,-61.000000
20260612-124411,1,E2,E8,E10,E11,-138.500000
20260612-124411,1,E2,E8,E11,E12,44.500000
20260612-124411,1,E2,E8,E12,E1,-15.500000
20260612-124411,1,E3,E9,E1,E2,-62.000000
20260612-124411,1,E3,E9,E4,E5,-16.000000
20260612-124411,1,E3,E9,E5,E6,-70.000000
20260612-124411,1,E3,E9,E6,E7,-64.000000
20260612-124411,1,E3,E9,E7,E8,114.000000
20260612-124411,1,E3,E9,E10,E11,-145.500000
20260612-124411,1,E3,E9,E11,E12,32.500000
20260612-124411,1,E3,E9,E12,E1,-18.000000
20260612-124411,1,E4,E10,E1,E2,-66.000000
20260612-124411,1,E4,E10,E2,E3,-132.500000
20260612-124411,1,E4,E10,E5,E6,-72.000000
20260612-124411,1,E4,E10,E6,E7,-65.500000
20260612-124411,1,E4,E10,E7,E8,121.500000
20260612-124411,1,E4,E10,E8,E9,16.000000
