run_id,capture,frame_id,pattern,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality,dac_code,settle_ms,sample_count
20260623-204217,baseline,11,adjacent,FWD,E1,E2,E3,E4,8.000000,15.781000,OK,100,50,16
20260623-204217,baseline,11,adjacent,FWD,E1,E2,E4,E5,-6.000000,15.156000,OK,100,50,16
20260623-204217,baseline,11,adjacent,FWD,E1,E2,E5,E6,2.000000,14.922000,OK,100,50,16
20260623-204217,baseline,11,adjacent,FWD,E1,E2,E6,E7,-4.000000,15.313000,OK,100,50,16
20260623-204217,baseline,11,adjacent,FWD,E1,E2,E7,E8,9.000000,14.766000,OK,100,50,16
20260623-204217,baseline,11,adjacent,FWD,E1,E2,E8,E9,14.000000,14.688000,OK,100,50,16
20260623-204217,baseline,11,adjacent,FWD,E1,E2,E9,E10,18.000000,15.313000,OK,100,50,16
20260623-204217,baseline,11,adjacent,FWD,E1,E2,E10,E11,-6.000000,13.438000,OK,100,50,16
20260623-204217,baseline,11,adjacent,FWD,E1,E2,E11,E12,-8.000000,14.688000,OK,100,50,16
20260623-204217,baseline,11,adjacent,REV,E2,E1,E3,E4,8.000000,13.750000,OK,100,50,16
20260623-204217,baseline,11,adjacent,REV,E2,E1,E4,E5,-6.000000,12.656000,OK,100,50,16
20260623-204217,baseline,11,adjacent,REV,E2,E1,E5,E6,2.000000,12.969000,OK,100,50,16
20260623-204217,baseline,11,adjacent,REV,E2,E1,E6,E7,-4.000000,12.266000,OK,100,50,16
20260623-204217,baseline,11,adjacent,REV,E2,E1,E7,E8,8.625000,12.734000,OK,100,50,16
20260623-204217,baseline,11,adjacent,REV,E2,E1,E8,E9,16.000000,12.188000,OK,100,50,16
20260623-204217,baseline,11,adjacent,REV,E2,E1,E9,E10,16.000000,12.266000,OK,100,50,16
20260623-204217,baseline,11,adjacent,REV,E2,E1,E10,E11,-6.125000,12.344000,OK,100,50,16
20260623-204217,baseline,11,adjacent,REV,E2,E1,E11,E12,-8.000000,13.281000,OK,100,50,16
20260623-204217,baseline,11,adjacent,FWD,E2,E3,E4,E5,-6.000000,16.406000,OK,100,50,16
