i_plus,i_minus,v_plus,v_minus,percent_error,sign_flipped,threshold_percent,status
E8,E9,E5,E6,97.3325,no,10.0000,FAIL
E4,E5,E7,E8,95.0227,no,10.0000,FAIL
E7,E8,E5,E6,94.8226,YES,10.0000,FAIL
E6,E7,E4,E5,91.7550,YES,10.0000,FAIL
E1,E2,E3,E4,91.6940,YES,10.0000,FAIL
E11,E12,E9,E10,91.0268,YES,10.0000,FAIL
E10,E11,E8,E9,90.5262,YES,10.0000,FAIL
E12,E1,E2,E3,88.1499,YES,10.0000,FAIL
E5,E6,E9,E10,87.3687,no,10.0000,FAIL
E5,E6,E2,E3,86.7682,YES,10.0000,FAIL
E5,E6,E10,E11,81.3688,YES,10.0000,FAIL
E11,E12,E2,E3,79.7137,no,10.0000,FAIL
E4,E5,E8,E9,77.4898,no,10.0000,FAIL
E10,E11,E3,E4,75.2805,no,10.0000,FAIL
E8,E9,E11,E12,74.5445,YES,10.0000,FAIL
E4,E5,E9,E10,71.1601,no,10.0000,FAIL
E5,E6,E3,E4,70.6879,YES,10.0000,FAIL
E2,E3,E10,E11,69.6200,no,10.0000,FAIL
E2,E3,E4,E5,68.2770,YES,10.0000,FAIL
E12,E1,E10,E11,67.4297,YES,10.0000,FAIL
E5,E6,E12,E1,66.7369,no,10.0000,FAIL
E5,E6,E11,E12,66.7212,YES,10.0000,FAIL
E7,E8,E11,E12,64.4873,YES,10.0000,FAIL
E10,E11,E4,E5,63.1581,YES,10.0000,FAIL
E11,E12,E3,E4,63.1135,no,10.0000,FAIL
E5,E6,E1,E2,59.4272,no,10.0000,FAIL
E10,E11,E1,E2,57.9522,YES,10.0000,FAIL
E12,E1,E3,E4,57.6404,YES,10.0000,FAIL
E11,E12,E6,E7,53.2275,YES,10.0000,FAIL
E3,E4,E9,E10,52.9858,YES,10.0000,FAIL
E11,E12,E1,E2,49.9916,YES,10.0000,FAIL
E10,E11,E7,E8,47.0824,YES,10.0000,FAIL
E11,E12,E4,E5,45.0407,YES,10.0000,FAIL
E12,E1,E4,E5,37.2993,no,10.0000,FAIL
E6,E7,E10,E11,35.8165,YES,10.0000,FAIL
E6,E7,E2,E3,35.1688,YES,10.0000,FAIL
E1,E2,E4,E5,34.9199,no,10.0000,FAIL
E6,E7,E3,E4,32.1387,YES,10.0000,FAIL
E9,E10,E2,E3,26.9370,YES,10.0000,FAIL
E3,E4,E7,E8,17.6145,YES,10.0000,FAIL
E2,E3,E7,E8,15.8497,YES,10.0000,FAIL
E12,E1,E7,E8,14.5489,no,10.0000,FAIL
E6,E7,E12,E1,10.8933,no,10.0000,FAIL
E1,E2,E6,E7,5.2850,no,10.0000,OK
E9,E10,E12,E1,5.0007,no,10.0000,OK
E8,E9,E1,E2,4.2960,no,10.0000,OK
E9,E10,E1,E2,3.5369,no,10.0000,OK
E6,E7,E8,E9,3.2332,no,10.0000,OK
E3,E4,E8,E9,2.7126,YES,10.0000,OK
E12,E1,E8,E9,1.2865,no,10.0000,OK
E6,E7,E9,E10,1.0971,no,10.0000,OK
E8,E9,E2,E3,1.0188,YES,10.0000,OK
E7,E8,E1,E2,0.7577,no,10.0000,OK
E9,E10,E7,E8,0.2968,no,10.0000,OK
