run_id,capture,frame_id,pattern,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality,dac_code,settle_ms,sample_count
20260622-183919,baseline,93,opposite,FWD,E1,E7,E2,E3,-2.000000,335.625000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E1,E7,E3,E4,267.500000,332.500000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E1,E7,E4,E5,6.500000,330.312000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E1,E7,E5,E6,-270.000000,328.750000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E1,E7,E8,E9,254.000000,325.000000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E1,E7,E9,E10,0.000000,324.375000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E1,E7,E10,E11,0.000000,325.625000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E1,E7,E11,E12,-257.500000,325.625000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E7,E1,E2,E3,-2.500000,355.937000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E7,E1,E3,E4,261.500000,341.562000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E7,E1,E4,E5,6.000000,337.813000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E7,E1,E5,E6,-276.000000,335.000000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E7,E1,E8,E9,262.000000,332.500000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E7,E1,E9,E10,2.000000,331.250000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E7,E1,E10,E11,0.000000,328.750000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E7,E1,E11,E12,-261.500000,327.812000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E2,E8,E3,E4,278.000000,332.188000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E2,E8,E4,E5,7.000000,328.125000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E2,E8,E5,E6,-278.000000,325.938000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E2,E8,E6,E7,-160.000000,325.625000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E2,E8,E9,E10,0.000000,326.250000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E2,E8,E10,E11,0.000000,323.750000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E2,E8,E11,E12,-266.000000,325.938000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E2,E8,E12,E1,141.500000,324.062000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E8,E2,E3,E4,187.500000,434.062000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E8,E2,E4,E5,4.000000,366.250000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E8,E2,E5,E6,-267.000000,340.625000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E8,E2,E6,E7,-119.500000,336.875000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E8,E2,E9,E10,1.000000,335.000000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E8,E2,E10,E11,0.000000,331.563000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E8,E2,E11,E12,-268.000000,330.625000,OK,100,10,4
20260622-183919,baseline,93,opposite,REV,E8,E2,E12,E1,114.000000,328.750000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E3,E9,E1,E2,122.000000,331.563000,OK,100,10,4
20260622-183919,baseline,93,opposite,FWD,E3,E9,E4,E5,8.000000,330.312000,OK,100,10,4
