run_id,frame_index,i_plus,i_minus,v_plus,v_minus,voltage_mv
20260613-000525,1,E2,E8,E3,E4,-2.000000
20260613-000525,1,E2,E8,E4,E5,10.000000
20260613-000525,1,E2,E8,E5,E6,-34.000000
20260613-000525,1,E2,E8,E6,E7,221.500000
20260613-000525,1,E2,E8,E9,E10,-214.500000
20260613-000525,1,E2,E8,E10,E11,206.500000
20260613-000525,1,E2,E8,E11,E12,194.000000
20260613-000525,1,E2,E8,E12,E1,10.000000
20260613-000525,1,E3,E9,E1,E2,13.000000
20260613-000525,1,E3,E9,E4,E5,12.000000
20260613-000525,1,E3,E9,E5,E6,-38.000000
20260613-000525,1,E3,E9,E6,E7,253.500000
20260613-000525,1,E3,E9,E7,E8,-13.500000
20260613-000525,1,E3,E9,E10,E11,231.500000
20260613-000525,1,E3,E9,E11,E12,216.500000
20260613-000525,1,E3,E9,E12,E1,12.000000
20260613-000525,1,E4,E10,E1,E2,16.000000
20260613-000525,1,E4,E10,E2,E3,19.500000
20260613-000525,1,E4,E10,E5,E6,-42.000000
20260613-000525,1,E4,E10,E6,E7,270.000000
20260613-000525,1,E4,E10,E7,E8,-12.000000
20260613-000525,1,E4,E10,E8,E9,-219.000000
20260613-000525,1,E4,E10,E11,E12,228.500000
20260613-000525,1,E4,E10,E12,E1,12.500000
20260613-000525,1,E5,E11,E1,E2,18.000000
20260613-000525,1,E5,E11,E2,E3,19.000000
20260613-000525,1,E5,E11,E3,E4,-2.000000
20260613-000525,1,E5,E11,E6,E7,286.000000
20260613-000525,1,E5,E11,E7,E8,-12.000000
20260613-000525,1,E5,E11,E8,E9,-232.000000
20260613-000525,1,E5,E11,E9,E10,-280.500000
20260613-000525,1,E5,E11,E12,E1,14.000000
20260613-000525,1,E6,E12,E1,E2,18.000000
20260613-000525,1,E6,E12,E2,E3,18.000000
20260613-000525,1,E6,E12,E3,E4,-2.000000
20260613-000525,1,E6,E12,E4,E5,14.000000
20260613-000525,1,E6,E12,E7,E8,-10.000000
20260613-000525,1,E6,E12,E8,E9,-240.000000
20260613-000525,1,E6,E12,E9,E10,-290.000000
20260613-000525,1,E6,E12,E10,E11,263.000000
20260613-000525,1,E7,E1,E2,E3,12.500000
20260613-000525,1,E7,E1,E3,E4,-2.000000
20260613-000525,1,E7,E1,E4,E5,14.500000
20260613-000525,1,E7,E1,E5,E6,-50.000000
20260613-000525,1,E7,E1,E8,E9,-215.500000
20260613-000525,1,E7,E1,E9,E10,-268.500000
20260613-000525,1,E7,E1,E10,E11,233.000000
20260613-000525,1,E7,E1,E11,E12,228.000000
20260613-000525,1,E8,E2,E3,E4,-2.000000
20260613-000525,1,E8,E2,E4,E5,16.000000
20260613-000525,1,E8,E2,E5,E6,-52.000000
20260613-000525,1,E8,E2,E6,E7,331.000000
20260613-000525,1,E8,E2,E9,E10,-318.500000
20260613-000525,1,E8,E2,E10,E11,295.500000
20260613-000525,1,E8,E2,E11,E12,278.000000
20260613-000525,1,E8,E2,E12,E1,15.000000
20260613-000525,1,E9,E3,E1,E2,18.000000
20260613-000525,1,E9,E3,E4,E5,16.000000
20260613-000525,1,E9,E3,E5,E6,-54.000000
20260613-000525,1,E9,E3,E6,E7,341.000000
20260613-000525,1,E9,E3,E7,E8,-14.000000
20260613-000525,1,E9,E3,E10,E11,304.000000
20260613-000525,1,E9,E3,E11,E12,286.000000
20260613-000525,1,E9,E3,E12,E1,16.000000
20260613-000525,1,E10,E4,E1,E2,18.500000
20260613-000525,1,E10,E4,E2,E3,16.000000
20260613-000525,1,E10,E4,E5,E6,-55.500000
20260613-000525,1,E10,E4,E6,E7,319.500000
20260613-000525,1,E10,E4,E7,E8,-8.000000
20260613-000525,1,E10,E4,E8,E9,-260.000000
20260613-000525,1,E10,E4,E11,E12,271.500000
20260613-000525,1,E10,E4,E12,E1,16.000000
