i_plus,i_minus,v_plus,v_minus,percent_error,sign_flipped,threshold_percent,status
E8,E9,E5,E6,97.3353,no,10.0000,FAIL
E4,E5,E7,E8,94.9987,no,10.0000,FAIL
E7,E8,E5,E6,94.8218,YES,10.0000,FAIL
E6,E7,E4,E5,91.7294,YES,10.0000,FAIL
E1,E2,E3,E4,91.6872,YES,10.0000,FAIL
E11,E12,E9,E10,91.0905,YES,10.0000,FAIL
E10,E11,E8,E9,90.3651,YES,10.0000,FAIL
E12,E1,E2,E3,88.1327,YES,10.0000,FAIL
E5,E6,E9,E10,87.3995,no,10.0000,FAIL
E5,E6,E10,E11,78.6328,YES,10.0000,FAIL
E4,E5,E8,E9,77.5602,no,10.0000,FAIL
E8,E9,E11,E12,74.6786,YES,10.0000,FAIL
E10,E11,E3,E4,74.0774,no,10.0000,FAIL
E5,E6,E2,E3,73.2394,YES,10.0000,FAIL
E4,E5,E9,E10,71.4078,no,10.0000,FAIL
E11,E12,E2,E3,70.7479,no,10.0000,FAIL
E5,E6,E3,E4,70.7058,YES,10.0000,FAIL
E2,E3,E10,E11,70.6577,no,10.0000,FAIL
E2,E3,E4,E5,69.0589,YES,10.0000,FAIL
E12,E1,E10,E11,68.2491,YES,10.0000,FAIL
E5,E6,E12,E1,67.1591,no,10.0000,FAIL
E7,E8,E11,E12,64.9150,YES,10.0000,FAIL
E10,E11,E4,E5,63.5022,YES,10.0000,FAIL
E11,E12,E3,E4,63.0794,no,10.0000,FAIL
E10,E11,E1,E2,61.5535,YES,10.0000,FAIL
E5,E6,E11,E12,59.7947,YES,10.0000,FAIL
E5,E6,E1,E2,58.5908,no,10.0000,FAIL
E12,E1,E3,E4,58.4787,YES,10.0000,FAIL
E11,E12,E6,E7,53.9557,YES,10.0000,FAIL
E3,E4,E9,E10,51.0167,YES,10.0000,FAIL
E11,E12,E1,E2,49.5718,YES,10.0000,FAIL
E10,E11,E7,E8,46.7592,YES,10.0000,FAIL
E11,E12,E4,E5,43.3736,YES,10.0000,FAIL
E12,E1,E4,E5,37.9719,no,10.0000,FAIL
E6,E7,E2,E3,35.6387,YES,10.0000,FAIL
E6,E7,E10,E11,35.1694,YES,10.0000,FAIL
E1,E2,E4,E5,34.9604,no,10.0000,FAIL
E6,E7,E3,E4,33.6116,YES,10.0000,FAIL
E9,E10,E2,E3,27.9664,YES,10.0000,FAIL
E3,E4,E7,E8,18.6430,YES,10.0000,FAIL
E2,E3,E7,E8,15.4836,YES,10.0000,FAIL
E9,E10,E12,E1,6.4375,no,10.0000,OK
E6,E7,E12,E1,5.7459,no,10.0000,OK
E8,E9,E1,E2,5.3656,no,10.0000,OK
E12,E1,E8,E9,4.9462,no,10.0000,OK
E3,E4,E8,E9,2.9288,YES,10.0000,OK
E9,E10,E1,E2,2.6164,no,10.0000,OK
E1,E2,E6,E7,1.8368,no,10.0000,OK
E6,E7,E8,E9,1.1855,no,10.0000,OK
E7,E8,E1,E2,0.8523,no,10.0000,OK
E8,E9,E2,E3,0.8461,YES,10.0000,OK
E12,E1,E7,E8,0.4016,no,10.0000,OK
E6,E7,E9,E10,0.2761,no,10.0000,OK
E9,E10,E7,E8,0.1317,no,10.0000,OK
