run_id,capture,frame_id,pattern,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality,dac_code,settle_ms,sample_count
20260623-071230,baseline,11,adjacent,FWD,E1,E2,E3,E4,-289.500000,326.563000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E1,E2,E4,E5,-39.000000,326.875000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E1,E2,E5,E6,-102.000000,325.312000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E1,E2,E6,E7,-22.000000,326.250000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E1,E2,E7,E8,128.000000,324.687000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E1,E2,E8,E9,26.000000,327.500000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E1,E2,E9,E10,26.000000,326.250000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E1,E2,E10,E11,-138.000000,326.563000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E1,E2,E11,E12,98.000000,326.563000,OK,100,30,4
20260623-071230,baseline,11,adjacent,REV,E2,E1,E3,E4,365.500000,328.437000,OK,100,30,4
20260623-071230,baseline,11,adjacent,REV,E2,E1,E4,E5,-32.000000,327.812000,OK,100,30,4
20260623-071230,baseline,11,adjacent,REV,E2,E1,E5,E6,-100.000000,326.875000,OK,100,30,4
20260623-071230,baseline,11,adjacent,REV,E2,E1,E6,E7,-23.000000,326.250000,OK,100,30,4
20260623-071230,baseline,11,adjacent,REV,E2,E1,E7,E8,128.500000,326.250000,OK,100,30,4
20260623-071230,baseline,11,adjacent,REV,E2,E1,E8,E9,26.000000,326.563000,OK,100,30,4
20260623-071230,baseline,11,adjacent,REV,E2,E1,E9,E10,26.000000,326.563000,OK,100,30,4
20260623-071230,baseline,11,adjacent,REV,E2,E1,E10,E11,-137.500000,326.563000,OK,100,30,4
20260623-071230,baseline,11,adjacent,REV,E2,E1,E11,E12,120.000000,326.563000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E2,E3,E4,E5,-40.000000,325.938000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E2,E3,E5,E6,-102.000000,325.938000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E2,E3,E6,E7,-22.000000,325.938000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E2,E3,E7,E8,128.000000,325.625000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E2,E3,E8,E9,26.000000,326.875000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E2,E3,E9,E10,26.000000,326.875000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E2,E3,E10,E11,-139.000000,326.875000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E2,E3,E11,E12,108.000000,326.875000,OK,100,30,4
20260623-071230,baseline,11,adjacent,FWD,E2,E3,E12,E1,30.500000,324.062000,OK,100,30,4
