i_plus,i_minus,v_plus,v_minus,percent_error,sign_flipped,threshold_percent,status
E8,E9,E5,E6,97.3073,no,10.0000,FAIL
E4,E5,E7,E8,95.3966,no,10.0000,FAIL
E7,E8,E5,E6,94.7962,YES,10.0000,FAIL
E1,E2,E3,E4,93.6695,YES,10.0000,FAIL
E6,E7,E4,E5,92.4609,YES,10.0000,FAIL
E11,E12,E9,E10,91.2351,YES,10.0000,FAIL
E10,E11,E8,E9,90.1659,YES,10.0000,FAIL
E12,E1,E2,E3,88.1666,YES,10.0000,FAIL
E5,E6,E9,E10,87.3444,no,10.0000,FAIL
E1,E2,E4,E5,83.2359,no,10.0000,FAIL
E4,E5,E8,E9,79.4000,no,10.0000,FAIL
E5,E6,E10,E11,78.6936,YES,10.0000,FAIL
E3,E4,E9,E10,78.4408,no,10.0000,FAIL
E5,E6,E2,E3,77.5880,YES,10.0000,FAIL
E4,E5,E9,E10,76.4975,no,10.0000,FAIL
E5,E6,E3,E4,76.4206,YES,10.0000,FAIL
E8,E9,E11,E12,75.6735,YES,10.0000,FAIL
E10,E11,E3,E4,75.5977,no,10.0000,FAIL
E2,E3,E10,E11,75.2988,no,10.0000,FAIL
E9,E10,E2,E3,72.2975,YES,10.0000,FAIL
E10,E11,E4,E5,71.7877,YES,10.0000,FAIL
E11,E12,E2,E3,71.2020,no,10.0000,FAIL
E6,E7,E3,E4,70.5760,YES,10.0000,FAIL
E12,E1,E10,E11,67.7667,YES,10.0000,FAIL
E5,E6,E12,E1,67.2239,no,10.0000,FAIL
E12,E1,E3,E4,66.4779,YES,10.0000,FAIL
E10,E11,E1,E2,66.3055,YES,10.0000,FAIL
E7,E8,E11,E12,65.0414,YES,10.0000,FAIL
E1,E2,E6,E7,60.6309,no,10.0000,FAIL
E5,E6,E11,E12,59.2150,YES,10.0000,FAIL
E9,E10,E1,E2,58.8411,no,10.0000,FAIL
E11,E12,E3,E4,58.6092,no,10.0000,FAIL
E11,E12,E1,E2,57.1747,YES,10.0000,FAIL
E8,E9,E1,E2,56.5886,no,10.0000,FAIL
E11,E12,E6,E7,54.4243,YES,10.0000,FAIL
E10,E11,E7,E8,46.4737,YES,10.0000,FAIL
E5,E6,E1,E2,44.6630,no,10.0000,FAIL
E11,E12,E4,E5,40.6217,YES,10.0000,FAIL
E6,E7,E10,E11,34.2926,YES,10.0000,FAIL
E7,E8,E1,E2,32.6882,no,10.0000,FAIL
E8,E9,E2,E3,28.6439,YES,10.0000,FAIL
E2,E3,E4,E5,27.6409,YES,10.0000,FAIL
E12,E1,E4,E5,23.5824,no,10.0000,FAIL
E3,E4,E8,E9,13.7826,YES,10.0000,FAIL
E3,E4,E7,E8,11.0695,YES,10.0000,FAIL
E9,E10,E12,E1,6.4292,no,10.0000,OK
E6,E7,E2,E3,5.7121,YES,10.0000,OK
E12,E1,E8,E9,3.8799,no,10.0000,OK
E12,E1,E7,E8,2.1719,no,10.0000,OK
E6,E7,E12,E1,1.7531,no,10.0000,OK
E2,E3,E7,E8,1.4314,YES,10.0000,OK
E6,E7,E8,E9,0.9757,no,10.0000,OK
E9,E10,E7,E8,0.4441,no,10.0000,OK
E6,E7,E9,E10,0.0372,no,10.0000,OK
