run_id,capture,frame_id,pattern,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality,dac_code,settle_ms,sample_count
20260901-183901,baseline,3,adjacent,FWD,E1,E2,E3,E4,342.562000,443.373000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E2,E1,E3,E4,-288.937000,548.710000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E1,E2,E4,E5,-23.500000,576.162000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E2,E1,E4,E5,4.844000,579.354000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E1,E2,E5,E6,-12.531000,589.249000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E2,E1,E5,E6,0.656000,587.653000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E1,E2,E6,E7,-3.313000,593.399000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E2,E1,E6,E7,0.625000,590.845000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E1,E2,E7,E8,-3.625000,593.399000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E2,E1,E7,E8,0.531000,594.357000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E1,E2,E8,E9,-9.594000,592.760000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E2,E1,E8,E9,-4.906000,593.399000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E1,E2,E9,E10,24.594000,591.484000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E2,E1,E9,E10,33.063000,594.357000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E1,E2,E10,E11,-24.187000,587.653000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E2,E1,E10,E11,-32.656000,593.080000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E1,E2,E11,E12,20.437000,585.738000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E2,E1,E11,E12,-2.000000,589.249000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E2,E3,E4,E5,-32.969000,497.319000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E3,E2,E4,E5,17.906000,563.394000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E2,E3,E5,E6,-14.656000,537.219000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E3,E2,E5,E6,3.094000,547.434000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E2,E3,E6,E7,-3.875000,541.369000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E3,E2,E6,E7,1.344000,556.052000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E2,E3,E7,E8,-3.688000,545.838000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E3,E2,E7,E8,0.781000,550.626000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E2,E3,E8,E9,-9.563000,550.626000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E3,E2,E8,E9,-5.437000,552.860000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E2,E3,E9,E10,26.281000,549.668000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E3,E2,E9,E10,32.000000,548.710000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E2,E3,E10,E11,-25.875000,545.838000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E3,E2,E10,E11,-31.500000,544.561000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E2,E3,E11,E12,14.563000,542.646000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E3,E2,E11,E12,3.375000,547.114000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E2,E3,E12,E1,-49.063000,543.603000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E3,E2,E12,E1,-15.531000,547.753000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E3,E4,E1,E2,-13.344000,617.977000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E4,E3,E1,E2,22.031000,701.290000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E3,E4,E5,E6,-23.969000,635.214000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E4,E3,E5,E6,13.625000,693.629000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E3,E4,E6,E7,-6.000000,636.810000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E4,E3,E6,E7,3.656000,691.075000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E3,E4,E7,E8,-4.812000,637.130000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E4,E3,E7,E8,2.031000,690.117000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E3,E4,E8,E9,-10.125000,638.406000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E4,E3,E8,E9,-5.219000,689.479000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E3,E4,E9,E10,26.719000,640.641000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E4,E3,E9,E10,32.000000,689.160000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E3,E4,E10,E11,-26.219000,640.960000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E4,E3,E10,E11,-31.500000,686.925000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E3,E4,E11,E12,13.500000,640.960000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E4,E3,E11,E12,5.500000,685.010000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E3,E4,E12,E1,-41.969000,645.429000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E4,E3,E12,E1,-26.000000,684.691000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E4,E5,E1,E2,-174.281000,735.764000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E5,E4,E1,E2,-130.375000,778.218000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E4,E5,E2,E3,238.500000,760.342000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E5,E4,E2,E3,179.812000,771.833000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E4,E5,E6,E7,-18.781000,767.045000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E5,E4,E6,E7,16.187000,768.961000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E4,E5,E7,E8,-11.219000,768.961000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E5,E4,E7,E8,8.219000,767.684000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E4,E5,E8,E9,-13.563000,769.918000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E5,E4,E8,E9,-2.188000,766.088000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E4,E5,E9,E10,24.594000,771.195000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E5,E4,E9,E10,34.156000,765.769000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E4,E5,E10,E11,-24.156000,769.918000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E5,E4,E10,E11,-33.719000,767.045000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E4,E5,E11,E12,15.188000,768.961000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E5,E4,E11,E12,4.469000,766.407000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E4,E5,E12,E1,-40.656000,767.684000,OK,100,30,4
20260901-183901,baseline,3,adjacent,REV,E5,E4,E12,E1,-28.625000,767.045000,OK,100,30,4
20260901-183901,baseline,3,adjacent,FWD,E5,E6,E1,E2,-155.187000,805.350000,OK,100,30,4
