run_id,capture,frame_id,pattern,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality,dac_code,settle_ms,sample_count
20260622-155818,baseline,16,adjacent,FWD,E1,E2,E3,E4,288.500000,334.688000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E1,E2,E4,E5,8.500000,332.500000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E1,E2,E5,E6,-302.000000,329.688000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E1,E2,E6,E7,0.000000,328.437000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E1,E2,E7,E8,-9.500000,327.812000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E1,E2,E8,E9,278.000000,328.125000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E1,E2,E9,E10,32.000000,326.250000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E1,E2,E10,E11,-306.000000,325.000000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E1,E2,E11,E12,-4.000000,324.062000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E2,E1,E3,E4,229.500000,373.750000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E2,E1,E4,E5,8.000000,345.000000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E2,E1,E5,E6,-304.000000,338.125000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E2,E1,E6,E7,0.000000,335.937000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E2,E1,E7,E8,-10.000000,333.437000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E2,E1,E8,E9,282.000000,332.500000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E2,E1,E9,E10,32.000000,330.000000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E2,E1,E10,E11,-309.500000,328.750000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E2,E1,E11,E12,-4.000000,328.125000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E2,E3,E4,E5,8.500000,331.563000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E2,E3,E5,E6,-307.500000,329.688000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E2,E3,E6,E7,0.000000,328.125000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E2,E3,E7,E8,-12.000000,327.500000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E2,E3,E8,E9,284.000000,327.500000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E2,E3,E9,E10,32.000000,325.938000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E2,E3,E10,E11,-314.000000,324.687000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E2,E3,E11,E12,-4.000000,324.062000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E2,E3,E12,E1,172.500000,324.062000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E3,E2,E4,E5,2.000000,494.063000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E3,E2,E5,E6,-242.500000,372.188000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E3,E2,E6,E7,-4.000000,343.438000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E3,E2,E7,E8,-12.000000,339.375000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E3,E2,E8,E9,286.000000,337.187000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E3,E2,E9,E10,31.500000,335.313000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E3,E2,E10,E11,-316.000000,335.000000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E3,E2,E11,E12,-4.000000,332.188000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E3,E2,E12,E1,142.500000,330.625000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E3,E4,E1,E2,24.000000,328.437000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E3,E4,E5,E6,-308.000000,328.750000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E3,E4,E6,E7,-2.000000,328.750000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E3,E4,E7,E8,-12.500000,328.750000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E3,E4,E8,E9,290.000000,327.500000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E3,E4,E9,E10,32.000000,327.187000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E3,E4,E10,E11,-318.000000,328.750000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E3,E4,E11,E12,-4.000000,327.812000,OK,100,10,4
20260622-155818,baseline,16,adjacent,FWD,E3,E4,E12,E1,130.000000,326.875000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E4,E3,E1,E2,-47.000000,396.250000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E4,E3,E5,E6,-241.000000,376.875000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E4,E3,E6,E7,-6.000000,346.875000,OK,100,10,4
20260622-155818,baseline,16,adjacent,REV,E4,E3,E7,E8,-14.000000,344.063000,OK,100,10,4
