run_id,capture,frame_id,pattern,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality,dac_code,settle_ms,sample_count
20260622-234749,baseline,120,adjacent,FWD,E1,E2,E3,E4,-267.000000,323.750000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E1,E2,E4,E5,-48.000000,320.313000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E1,E2,E5,E6,-76.000000,321.562000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E1,E2,E6,E7,-38.000000,320.938000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E1,E2,E7,E8,107.000000,324.375000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E1,E2,E8,E9,24.000000,322.812000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E1,E2,E9,E10,25.500000,327.187000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E1,E2,E10,E11,-116.000000,323.125000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E1,E2,E11,E12,88.000000,324.062000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E2,E1,E3,E4,348.000000,329.375000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E2,E1,E4,E5,-40.000000,324.375000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E2,E1,E5,E6,-78.000000,325.312000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E2,E1,E6,E7,-38.000000,322.187000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E2,E1,E7,E8,112.000000,318.750000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E2,E1,E8,E9,24.000000,318.438000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E2,E1,E9,E10,26.000000,320.313000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E2,E1,E10,E11,-115.000000,319.687000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E2,E1,E11,E12,112.000000,324.062000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E2,E3,E4,E5,-50.000000,318.438000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E2,E3,E5,E6,-83.000000,317.500000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E2,E3,E6,E7,-34.000000,313.125000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E2,E3,E7,E8,112.000000,315.625000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E2,E3,E8,E9,24.000000,319.687000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E2,E3,E9,E10,26.000000,316.250000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E2,E3,E10,E11,-116.500000,316.250000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E2,E3,E11,E12,100.500000,314.688000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E2,E3,E12,E1,27.500000,315.625000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E3,E2,E4,E5,-36.500000,321.562000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E3,E2,E5,E6,-82.000000,321.562000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E3,E2,E6,E7,-40.000000,322.812000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E3,E2,E7,E8,116.000000,317.500000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E3,E2,E8,E9,24.000000,315.625000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E3,E2,E9,E10,26.000000,315.312000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E3,E2,E10,E11,-118.000000,312.500000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E3,E2,E11,E12,106.000000,317.188000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E3,E2,E12,E1,38.000000,311.250000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E3,E4,E1,E2,-366.500000,306.875000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E3,E4,E5,E6,-100.000000,305.312000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E3,E4,E6,E7,-41.000000,307.500000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E3,E4,E7,E8,114.000000,314.062000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E3,E4,E8,E9,24.000000,315.625000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E3,E4,E9,E10,24.500000,314.375000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E3,E4,E10,E11,-122.000000,314.375000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E3,E4,E11,E12,98.000000,313.125000,OK,100,10,4
20260622-234749,baseline,120,adjacent,FWD,E3,E4,E12,E1,0.000000,314.062000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E4,E3,E1,E2,248.000000,321.562000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E4,E3,E5,E6,-70.000000,319.687000,OK,100,10,4
20260622-234749,baseline,120,adjacent,REV,E4,E3,E6,E7,-30.000000,319.375000,OK,100,10,4
