frame_index,frame_id,pattern,dac_code,settle_ms,sample_count,record_index,polarity,i_plus,i_minus,v_plus,v_minus,voltage_mv,current_ua,quality
0,6,adjacent,400,30,16,0,FWD,E1,E2,E3,E4,-24.930000,267.812000,OK
0,6,adjacent,400,30,16,1,REV,E2,E1,E3,E4,18.539000,291.672000,OK
0,6,adjacent,400,30,16,2,FWD,E1,E2,E4,E5,-155.125000,273.238000,OK
0,6,adjacent,400,30,16,3,REV,E2,E1,E4,E5,195.664000,289.757000,OK
0,6,adjacent,400,30,16,4,FWD,E1,E2,E5,E6,144.250000,273.398000,OK
0,6,adjacent,400,30,16,5,REV,E2,E1,E5,E6,-127.391000,288.879000,OK
0,6,adjacent,400,30,16,6,FWD,E1,E2,E6,E7,13.789000,275.073000,OK
0,6,adjacent,400,30,16,7,REV,E2,E1,E6,E7,15.805000,288.400000,OK
0,6,adjacent,400,30,16,8,FWD,E1,E2,E7,E8,-15.648000,274.914000,OK
0,6,adjacent,400,30,16,9,REV,E2,E1,E7,E8,-13.648000,289.118000,OK
0,6,adjacent,400,30,16,10,FWD,E1,E2,E8,E9,-45.414000,275.233000,OK
0,6,adjacent,400,30,16,11,REV,E2,E1,E8,E9,-43.336000,288.879000,OK
0,6,adjacent,400,30,16,12,FWD,E1,E2,E9,E10,1.734000,276.111000,OK
0,6,adjacent,400,30,16,13,REV,E2,E1,E9,E10,6.539000,288.640000,OK
0,6,adjacent,400,30,16,14,FWD,E1,E2,E10,E11,-57.313000,275.313000,OK
0,6,adjacent,400,30,16,15,REV,E2,E1,E10,E11,-61.555000,288.161000,OK
0,6,adjacent,400,30,16,16,FWD,E1,E2,E11,E12,-90.563000,275.073000,OK
0,6,adjacent,400,30,16,17,REV,E2,E1,E11,E12,-97.250000,288.001000,OK
0,6,adjacent,400,30,16,18,FWD,E2,E3,E4,E5,-27.719000,276.590000,OK
0,6,adjacent,400,30,16,19,REV,E3,E2,E4,E5,72.781000,289.597000,OK
0,6,adjacent,400,30,16,20,FWD,E2,E3,E5,E6,-142.227000,282.016000,OK
0,6,adjacent,400,30,16,21,REV,E3,E2,E5,E6,163.891000,287.762000,OK
